Index,Name_Teigtasche,Landesindex,Zubereitungsart,Beschaffenheit,Verspeisungsert,Besonderes,Info,Link
1,Bolani,1,gebraten ,gefülltes Fladenbrot,Pur_ mit Dipp auf Joghurtbasis,,Teigtasche aus Afghanistan,https://www.lecker.de/afghanische-bolani-herzhaft-gefuelltes-fladenbrot-84874.html
2,Afghanische Mantu,1,dampfgaren,gefüllte Dumplings,In Eintopf_ Pur mit joghurtdipp,,Afghanische version des Mantus,https://www.rewe.de/rezepte/afghanische-mantu/
3,Hawawshi,2,gebacken,gefüllte Pita,Pur_ mit Dipp auf Joghurtbasis,"verschiedenen Variationen baladi(standart), Alexandrian",Gefülltes Brot aus Ägypten,https://www.chefkoch.de/rezepte/3863211588160601/Hawawshi-traditionelle-aegyptische-Teigtaschen.html
4,Feteer meshalet,2,gebacken,gefüllter Blätterteig,alles erdenkliche,Sowohl süßs als auch hertzhaft,Ägyptische Blätterteig der mit allem erdenklichen gefüllt wird,https://aegyptischkochen.blogspot.com/2019/02/gefullte-fetir-feteer.html
4,Albanischer Burek,3,gebacken,gefülter Blättertrig,Vegetarisch oder mit Fleisch,Im ganzen Balkan gegessen,Albanische version des Bureks,"https://www.tantefanny.at/rezept/albanischer-burek/#:~:text=Burek%20ist%20ein%20Teiggericht%2C%20das,vegetarische%20Burek%20Rezept%20unbedingt%20ausprobieren."
5,Mahdjouba / mhadjeb,4,gebacken,gefülltes Fladenbrot,Pur,,Traditionelle Algerische Fladentasche,https://bakinghermann.com/mhajeb-algerian-stuffed-flatbreads/
6,Pastissets,5,gebacken,Keksartige Teigtasche,Zu Kaffee oder Tee_ Pur,,Taditionelle Süßspaeise aus Andorra,https://www.nationalgerichtrezepte.de/nationalgericht-andorra-pastissets-rezept/
7,Pastels aus Angola,6,fritiert,Fischgefüllte Teigtaschen,Pur_ mit Dipp ,Fischfüllung,Angolische Teigtasche,https://www.creatable.de/rezept/pastels-frittierte-fisch-teigtaschen/
8,Crab and Dumplings,7,gekocht,gefüllter Dumpling,mit Sauce,In der ganzen Karibick verbreitet,Mit Krabbe gefüllte Teigtasche aus der Karibick,https://www.nationalgerichtrezepte.de/nationalgericht-antigua-und-barbuda-crab-and-dumplings-rezept/
9,Samosas aus Äquatorialguinea ,8,fritiert,Gefüllte fritierte Teigtasche,Pur_ mit Dipp,Aus indien/ Pakistan stammend in Afrika sehr beliebt,Äquatorialguineanische version der Samosa,https://www.gutekueche.de/sambusak-rezept-18186
10,Argentinische Empanadas,9,gebacken,Teigtasche,Pur_ mit Dipp,,Argentinische version der berühmten Teigtasche,https://puramanteca.de/argentinische-empanadas/
11,Armenische Manti,10,dampfgaren oder backen,Teigtasche,Mit joghurt und Minze,,Armenische version des Manti,https://www.nationalgerichtrezepte.de/nationalgericht-armenien-manti-rezept/
12,Boraki,10,dampfgarenoder gebraten,gefülter Dumpling,geschmolzene Butter_ Sauerrahm,oben Offen,Armenische Teigtasche,https://kochgenossen.com/kommandosache-teigtascherl-boraki/
13,Shekerbura ,11,gebacken,süßs gebäck,Pur,Ikonische Speise des Novruz Festes,Aserbaidschan Süßsgebäck,https://gastrosofie.com/shekerbura-suesse-teigtaschen-aus-aserbaidschan/
14,Qutab ,11,gebraten ,gefüllter Fladen,Pur_ mit Ayran,,Traditionelle Aserbaidschanische Teigtasche,https://www.kochbar.de/rezept/275371/Kutab-s.html
15,Äthiopische Sambusa,12,fritiert,Gefüllte fritierte Teigtasche,Pur_ mit Dipp,,Äthiopische version der Samosa,https://www.creatable.de/rezept/aethiopische-sambusa/
16,Australische Meat pies,13,gebacken,Meat Pie,Pur,,Meat Pie nach australischer Art,https://www.swissmilk.ch/de/rezepte-kochideen/rezepte/LM200904_83/australische-meat-pies/
17,Dimmies_Chiko Roll,13,fritiert,wie eine Frühlingsrolle,als Snack gedacht,,Australische Wersion einer Frühlingsrolle,https://magentratzerl.de/2021/05/14/teigtasche-des-monats-dimmies-australische-dim-sun/
18,Conch fritters,14,fritiert,in Backteig fritierte Seeschnecke,mit Dipp,,Fastfood von den Bahamas,https://www.nationalgerichtrezepte.de/nationalgericht-bahamas-conch-fritters-rezept/
19,Samboosa ,15,fritiert,Gefüllte fritierte Teigtasche,Pur_ mit Dipp,,Samosa aus Bahrain,https://www.nationalgerichtrezepte.de/nationalgericht-bahrain-samboosa-rezept/
20,Puchka ,16,fritiert,wie die Indische version nur vor fritiren gefüllt,Mit gewürtem Wasser oder Dipp,,Bangladesch Version eines Typisch Indischen STreetfood,https://www.nationalgerichtrezepte.de/nationalgericht-bangladesch-puchka-rezept/
21,Bajan Coconut Turnovers,17,gebacken,wie kleine gefüllte Brote,Pur,,Süßspeise aus Barbados,https://www.nationalgerichtrezepte.de/nationalgericht-barbados-bajan-coconut-turnovers-rezept/
22,Conch fritters,17,fritiert,in Backteig fritierte Seeschnecken,mit Dipp,,"Ebenfalls auf Barbados beliebt, so wie in der ganzen Karibik",https://www.nationalgerichtrezepte.de/nationalgericht-barbados-conch-fritters-rezept/
23,Chaya Empanadas,19,fritiert,Empanada,mit Dipp,,Vegetarische variante der Empanada,https://www.nationalgerichtrezepte.de/nationalgericht-belize-chaya-empanadas-rezept/
24,Pâté aus Benin,20,fritiert,"eine Teigtasche die üblicherweise entweder mit Hack, FIsch, oder gemüse gefüllt wird",Fingerfood,,fritierte Teigtasche aus Afrika,https://cevichetrifftfischstaebchen.de/zum-nachkochen/gefuellte-teigtaschen-aus-benin-pate-und-gibt-es-typisch-afrikanisch/
25,Momos,21,dampfgaren,gefüllter Dumpling,Pur,ursprung in Tibet,Bhutanische version der Tibetischen Momos,https://www.chefkoch.de/rezepte/219861091435664/Tibetische-Momos.html
26,Salteñas,22,gebcken,Empanada,,gebacken stat frititert,Bolivische version der Empanada,https://latin-mag.com/das-original-rezept-fuer-bolivianische-saltenas/
27,Klepe /  Kulake ,23,gekocht,dreieckige Ravioli,mit Suaerrahm,,Teigtasche aus Bosnien,https://www.daskochrezept.de/rezepte/kulake-gefuellte-teigtaschen-aus-bosnien / https://www.hanumakocht.at/klepe/
28,Sambusak,24,fritiert,Samosa,,,Botswanische version des Samosa,https://www.gutekueche.de/sambusak-rezept-18186
29,Coxinha,25,fritiert,fritierte Hühnerballen,Pur_ mit Dipp,,Brasilianisches Fastfood,https://www.gutekueche.de/coxinha-de-galinha-rezept-17630 / https://www.brasil-latino.de/BLOG/2020/01/23/salgados-die-brasilianische-imbisskultur/
30,Rogowatschki,27,fritiert,mit Käse gefüllte Teigtasche,,Käsefüllung,Bulgarische Teigtasche mit Käsefüllung,https://caroskueche.de/bulgarische-teigtaschen/